Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap12.1025	sp|O55173|PDPK1_RAT	1.94e-165	3-phosphoinositide-dependent protein kinase 1 OS=Rattus norvegicus GN=Pdpk1 PE=1 SV=2	tr|A0A2B4SIS8|A0A2B4SIS8_STYPI	0	3-phosphoinositide-dependent protein kinase 1 OS=Stylophora pistillata GN=Pdpk1 PE=4 SV=1	gb|PFX29029.1|	0	3-phosphoinositide-dependent protein kinase 1-like [Stylophora pistillata]	GO:0042995; GO:0005737; GO:0031410; GO:0005829; GO:0005925; GO:0005634; GO:0043204; GO:0005886; GO:0014069; GO:0004676; GO:0005524; GO:0005158; GO:0016004; GO:0043274; GO:0019901; GO:0004674; GO:0032148; GO:0019722; GO:0016477; GO:1990416; GO:0071364; GO:0032869; GO:0007173; GO:0097191; GO:0048041; GO:0006972; GO:0035556; GO:0010667; GO:0043524; GO:0006469; GO:0034122; GO:0030512; GO:0018105; GO:0018107; GO:0045766; GO:0043536; GO:0010518; GO:1903078; GO:0051281; GO:1905564; GO:0006468; GO:0010594; GO:0043122; GO:0043304; GO:0006355; GO:0006351; GO:0003323	GO:0005524; GO:0004674
evm.model.Ap12.1026	sp|Q9W6H5|UBC9A_DANRE	3.07e-102	SUMO-conjugating enzyme UBC9-A OS=Danio rerio GN=ube2ia PE=1 SV=1	tr|A0A2B4SIT9|A0A2B4SIT9_STYPI	5.25e-109	SUMO-conjugating enzyme UBC9-A OS=Stylophora pistillata GN=ube2ia PE=4 SV=1	gb|PFX29039.1|	8.14e-109	SUMO-conjugating enzyme UBC9-A [Stylophora pistillata]	GO:0005737; GO:0005634; GO:0005524; GO:0019789; GO:0007049; GO:0051301; GO:0007059; GO:0060216; GO:0061484; GO:0016925; GO:0031099; GO:0007088	GO:0005524; GO:0019789
evm.model.Ap12.2178	NA	NA	NA	tr|A0A2B4SVT6|A0A2B4SVT6_STYPI	8.5e-59	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene2459 PE=4 SV=1	ref|XP_020605793.1|	2.41e-81	radial spoke head 10 homolog B-like [Orbicella faveolata]	NA	
evm.model.Ap12.1022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap12.1023	sp|Q5SRX1|TM1L2_MOUSE	3.28e-139	TOM1-like protein 2 OS=Mus musculus GN=Tom1l2 PE=1 SV=1	tr|A0A2B4SKC6|A0A2B4SKC6_STYPI	0	TOM1-like protein 2 OS=Stylophora pistillata GN=Tom1l2 PE=4 SV=1	ref|XP_020604383.1|	0	TOM1-like protein 2 [Orbicella faveolata]	GO:0005622; GO:0030276; GO:0019901; GO:0006886; GO:0045839; GO:0007165	GO:0005622; GO:0006886
evm.model.Ap12.1023.1.5f15e3f9	sp|Q5SRX1|TM1L2_MOUSE	6.05e-142	TOM1-like protein 2 OS=Mus musculus GN=Tom1l2 PE=1 SV=1	tr|A0A2B4SKC6|A0A2B4SKC6_STYPI	0	TOM1-like protein 2 OS=Stylophora pistillata GN=Tom1l2 PE=4 SV=1	ref|XP_020604383.1|	0	TOM1-like protein 2 [Orbicella faveolata]	GO:0005622; GO:0030276; GO:0019901; GO:0006886; GO:0045839; GO:0007165	GO:0005622; GO:0006886
evm.model.Ap12.1028	sp|Q8BTN6|LENG9_MOUSE	7.51e-31	Leukocyte receptor cluster member 9 OS=Mus musculus GN=Leng9 PE=2 SV=1	tr|A0A2B4SJJ1|A0A2B4SJJ1_STYPI	0	Leukocyte receptor cluster member 9 OS=Stylophora pistillata GN=LENG9 PE=4 SV=1	ref|XP_020607413.1|	0	uncharacterized protein LOC110046083 [Orbicella faveolata]	GO:0046872	GO:0046872
evm.model.Ap12.1029	sp|Q9Y5X5|NPFF2_HUMAN	7.18e-36	Neuropeptide FF receptor 2 OS=Homo sapiens GN=NPFFR2 PE=1 SV=2	tr|A7RJU0|A7RJU0_NEMVE	7.31e-121	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g83657 PE=4 SV=1	ref|XP_020607386.1|	0	galanin receptor type 1-like [Orbicella faveolata]	GO:0015629; GO:0005887; GO:0005886; GO:0004930; GO:0008188; GO:0031628; GO:0042277; GO:0032870; GO:0009582; GO:0007186; GO:0045761; GO:2000479; GO:0043408; GO:1901652	GO:0016021; GO:0004930
evm.model.Ap12.636	sp|P12107|COBA1_HUMAN	2.82e-06	Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1 PE=1 SV=4	tr|A0A2B4RHA1|A0A2B4RHA1_STYPI	4.9e-113	Ryncolin-1 OS=Stylophora pistillata GN=Ryncolin-1 PE=4 SV=1	ref|XP_022806084.1|	2.69e-151	uncharacterized protein LOC111343194 [Stylophora pistillata]	GO:0005592; GO:0005788; GO:0005576; GO:0005615; GO:0050840; GO:0005201; GO:0046872; GO:0030674; GO:0001502; GO:0002063; GO:0030574; GO:0030199; GO:0050910; GO:0048704; GO:0035987; GO:0030198; GO:0042472; GO:0001503; GO:0006029; GO:0007605; GO:0035989; GO:0055010; GO:0007601	GO:0005201
evm.model.Ap12.2578_evm.model.Ap12.2579	sp|P16273|PRPX_HORVU	1.89e-36	Pathogen-related protein OS=Hordeum vulgare PE=2 SV=2	tr|A0A2B4SD80|A0A2B4SD80_STYPI	3.29e-129	Pathogen-related protein OS=Stylophora pistillata GN=2 PE=4 SV=1	ref|XP_020620591.1|	2.71e-143	pathogen-related protein-like isoform X1 [Orbicella faveolata]	GO:0006952; GO:0009607	
evm.model.Ap12.2578_evm.model.Ap12.2579.1.5f169082	sp|P16273|PRPX_HORVU	8.53e-37	Pathogen-related protein OS=Hordeum vulgare PE=2 SV=2	tr|A0A2B4SD80|A0A2B4SD80_STYPI	6.5e-128	Pathogen-related protein OS=Stylophora pistillata GN=2 PE=4 SV=1	ref|XP_020620591.1|	9.8e-142	pathogen-related protein-like isoform X1 [Orbicella faveolata]	GO:0006952; GO:0009607	
evm.model.Ap12.631	NA	NA	NA	tr|A0A2B4RFX1|A0A2B4RFX1_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene20046 PE=4 SV=1	gb|PFX15733.1|	0	hypothetical protein AWC38_SpisGene20046 [Stylophora pistillata]	NA	GO:0046872
evm.model.Ap12.1358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap12.2008	sp|O36018|BUD22_SCHPO	1.25e-12	Protein bud22 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=bud22 PE=3 SV=1	tr|A0A2B4SKM0|A0A2B4SKM0_STYPI	1.5e-23	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene6223 PE=4 SV=1	ref|XP_020603817.1|	2.02e-51	protein bud22-like [Orbicella faveolata]	GO:0030686; GO:0005730; GO:0005634; GO:0030490; GO:0042274	
evm.model.Ap12.2007	NA	NA	NA	tr|A0A2B4SEZ8|A0A2B4SEZ8_STYPI	2.29e-25	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene8180 PE=4 SV=1	gb|PFX27112.1|	3.55e-25	hypothetical protein AWC38_SpisGene8180 [Stylophora pistillata]	NA	
evm.model.Ap12.2006	sp|Q6AYH6|EMC10_RAT	1.13e-13	ER membrane protein complex subunit 10 OS=Rattus norvegicus GN=Emc10 PE=1 SV=1	tr|A0A2B4SJM1|A0A2B4SJM1_STYPI	4.93e-45	ER membrane protein complex subunit 10 OS=Stylophora pistillata GN=Emc10 PE=4 SV=1	ref|XP_022784994.1|	9.93e-45	ER membrane protein complex subunit 10-like [Stylophora pistillata]	GO:0072546; GO:0016021	
evm.model.Ap12.2005	sp|A7SK27|EKI_NEMVE	3.88e-123	Probable ethanolamine kinase OS=Nematostella vectensis GN=etnk PE=3 SV=1	tr|A0A2B4SGQ1|A0A2B4SGQ1_STYPI	0	Putative ethanolamine kinase OS=Stylophora pistillata GN=etnk PE=4 SV=1	gb|PFX29071.1|	0	probable ethanolamine kinase isoform X1 [Stylophora pistillata]	GO:0005737; GO:0005524; GO:0004305; GO:0006646	GO:0016301
evm.model.Ap12.2004	sp|A0JC51|ZIC4_XENLA	3.49e-70	Zinc finger protein ZIC 4 OS=Xenopus laevis GN=zic4 PE=2 SV=1	tr|A0A2B4SKP8|A0A2B4SKP8_STYPI	0	Zinc finger protein ZIC 4 OS=Stylophora pistillata GN=zic4 PE=4 SV=1	ref|XP_020603911.1|	0	zinc finger protein ZIC 1-like [Orbicella faveolata]	GO:0005634; GO:0003677; GO:0046872; GO:0007399; GO:0014029	GO:0003676
evm.model.Ap12.2003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap12.2002	NA	NA	NA	tr|W4ZC56|W4ZC56_STRPU	2.03e-42	Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1	ref|XP_011666156.1|	6.76e-70	PREDICTED: uncharacterized protein LOC105439168 [Strongylocentrotus purpuratus]	NA	
evm.model.Ap12.2001	sp|A0JC51|ZIC4_XENLA	1.87e-92	Zinc finger protein ZIC 4 OS=Xenopus laevis GN=zic4 PE=2 SV=1	tr|A0A2B4SJ06|A0A2B4SJ06_STYPI	0	Zinc finger protein ZIC 4 OS=Stylophora pistillata GN=zic4 PE=4 SV=1	gb|PFX29073.1|	0	Zinc finger protein ZIC 4 [Stylophora pistillata]	GO:0005634; GO:0003677; GO:0046872; GO:0007399; GO:0014029	GO:0003676
evm.model.Ap12.2000	NA	NA	NA	NA	NA	NA	ref|XP_020896318.1|	1.49e-12	uncharacterized protein LOC110235215 [Exaiptasia pallida]	NA	NA
evm.model.Ap12.639	sp|Q7MQ33|UBIE_VIBVY	3.94e-13	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE OS=Vibrio vulnificus (strain YJ016) GN=ubiE PE=3 SV=1	tr|A0A2B4RG84|A0A2B4RG84_STYPI	3.99e-98	Trans-aconitate 2-methyltransferase OS=Stylophora pistillata GN=tam PE=4 SV=1	ref|XP_022806427.1|	5.66e-105	uncharacterized protein LOC111343502 [Stylophora pistillata]	GO:0102005; GO:0102955; GO:0009234; GO:0006744	GO:0008168
evm.model.Ap12.638	sp|Q87TH4|UBIE_VIBPA	8.06e-12	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE OS=Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633) GN=ubiE PE=3 SV=1	tr|A0A2B4SFP5|A0A2B4SFP5_STYPI	6.64e-102	Trans-aconitate 2-methyltransferase OS=Stylophora pistillata GN=tam PE=4 SV=1	ref|XP_022806436.1|	9.36e-106	uncharacterized protein LOC111343511 [Stylophora pistillata]	GO:0102005; GO:0102955; GO:0009234; GO:0006744	GO:0008168
evm.model.Ap12.1582	sp|Q6S5C2|GNPTG_MOUSE	1.61e-59	N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Mus musculus GN=Gnptg PE=1 SV=1	tr|A0A2B4RSG5|A0A2B4RSG5_STYPI	8.35e-145	N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Stylophora pistillata GN=Gnptg PE=4 SV=1	ref|XP_020609266.1|	5.13e-175	N-acetylglucosamine-1-phosphotransferase subunit gamma-like [Orbicella faveolata]	GO:0005576; GO:0005794; GO:0042803; GO:0046835	GO:0016740
evm.model.Ap12.772	sp|Q8BKX6|SMG1_MOUSE	0	Serine/threonine-protein kinase SMG1 OS=Mus musculus GN=Smg1 PE=1 SV=3	tr|A0A2B4RMD7|A0A2B4RMD7_STYPI	0	Serine/threonine-protein kinase SMG1 OS=Stylophora pistillata GN=Smg1 PE=4 SV=1	ref|XP_022802665.1|	0	serine/threonine-protein kinase SMG1-like [Stylophora pistillata]	GO:0005737; GO:0005654; GO:0005634; GO:0005524; GO:0016301; GO:0046872; GO:0004674; GO:0042162; GO:0006281; GO:0000184; GO:0018105; GO:0046854; GO:0046777; GO:0032204	GO:0005524; GO:0004674; GO:0000184
evm.model.Ap12.773	sp|Q96FZ7|CHMP6_HUMAN	7.98e-82	Charged multivesicular body protein 6 OS=Homo sapiens GN=CHMP6 PE=1 SV=3	tr|A0A2B4RNR7|A0A2B4RNR7_STYPI	9.01e-103	Charged multivesicular body protein 6 OS=Stylophora pistillata GN=CHMP6 PE=4 SV=1	gb|PFX17978.1|	1.4e-102	Charged multivesicular body protein 6 [Stylophora pistillata]	GO:0005829; GO:0010008; GO:0000815; GO:0070062; GO:0031902; GO:0016020; GO:0032403; GO:0047485; GO:0000920; GO:0016197; GO:1904902; GO:0016236; GO:0007080; GO:0036258; GO:0007175; GO:0006997; GO:0015031; GO:0007034; GO:0039702; GO:0019058	GO:0007034
evm.model.Ap12.770	sp|Q9BZR6|RTN4R_HUMAN	4.65e-27	Reticulon-4 receptor OS=Homo sapiens GN=RTN4R PE=1 SV=1	tr|A0A2B4RNQ8|A0A2B4RNQ8_STYPI	5.77e-69	Slit-like 3 protein OS=Stylophora pistillata GN=SLIT3 PE=4 SV=1	ref|XP_020622681.1|	0	leucine-rich repeat-containing protein 15-like [Orbicella faveolata]	GO:0031362; GO:0044295; GO:0009986; GO:0005737; GO:0043198; GO:0005783; GO:0070062; GO:0005887; GO:0045121; GO:0043005; GO:0043025; GO:0043204; GO:0005886; GO:0035374; GO:1905573; GO:1905576; GO:0008201; GO:0038131; GO:0004860; GO:0004872; GO:0007409; GO:0007166; GO:0022038; GO:0019221; GO:0030517; GO:0048681; GO:0050771; GO:0046426; GO:0010977; GO:0006469; GO:0023041; GO:0043547; GO:0035025	GO:0016021
evm.model.Ap12.771	NA	NA	NA	tr|A0A2B4RMC7|A0A2B4RMC7_STYPI	3.79e-125	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene17680 PE=4 SV=1	ref|XP_020622682.1|	1.67e-160	uncharacterized protein LOC110060266 isoform X1 [Orbicella faveolata]	NA	
evm.model.Ap12.777	sp|Q6P1M3|L2GL2_HUMAN	0	Lethal(2) giant larvae protein homolog 2 OS=Homo sapiens GN=LLGL2 PE=1 SV=2	tr|A0A2B4RN89|A0A2B4RN89_STYPI	0	Lethal(2) giant larvae protein-like 1 OS=Stylophora pistillata GN=Llgl1 PE=4 SV=1	gb|PFX17980.1|	0	lethal(2) giant larvae protein homolog 2-like [Stylophora pistillata]	GO:0005737; GO:0005829; GO:0043231; GO:0005886; GO:0005096; GO:0030165; GO:0017137; GO:0007049; GO:0051301; GO:0006887; GO:0032878; GO:0017157; GO:0050708	
evm.model.Ap12.774	sp|Q05B50|THG1_BOVIN	5.44e-129	Probable tRNA(His) guanylyltransferase OS=Bos taurus GN=THG1L PE=2 SV=1	tr|A7RKR9|A7RKR9_NEMVE	5.88e-140	tRNA(His) guanylyltransferase OS=Nematostella vectensis GN=v1g84802 PE=3 SV=1	ref|XP_020622721.1|	1.1e-176	probable tRNA(His) guanylyltransferase [Orbicella faveolata]	GO:0005739; GO:0005524; GO:0005525; GO:0042802; GO:0000287; GO:0008193; GO:0051289; GO:0006400; GO:0008033	GO:0016021; GO:0005525; GO:0000287; GO:0008193; GO:0006400; GO:0008033
evm.model.Ap12.775	sp|Q9HAS0|NJMU_HUMAN	8.69e-61	Protein Njmu-R1 OS=Homo sapiens GN=C17orf75 PE=1 SV=2	tr|A0A2B4RNR7|A0A2B4RNR7_STYPI	0	Charged multivesicular body protein 6 OS=Stylophora pistillata GN=CHMP6 PE=4 SV=1	ref|XP_020622715.1|	0	protein Njmu-R1-like [Orbicella faveolata]		GO:0007034
evm.model.Ap12.778	sp|G5E8K5|ANK3_MOUSE	4.19e-50	Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1	tr|A0A2B4RRQ6|A0A2B4RRQ6_STYPI	0	Omega-amidase NIT2 OS=Stylophora pistillata GN=nit2 PE=4 SV=1	ref|XP_020622711.1|	0	tankyrase-2-like [Orbicella faveolata]	GO:0030424; GO:0043194; GO:0016323; GO:0009986; GO:0043034; GO:0030425; GO:0014704; GO:0016328; GO:0005764; GO:0016020; GO:0031594; GO:0033268; GO:0033270; GO:0005886; GO:0045211; GO:0042383; GO:0016529; GO:0014731; GO:0045202; GO:0030315; GO:0030018; GO:0045296; GO:0008092; GO:0044325; GO:0030674; GO:0030507; GO:0005200; GO:0007411; GO:0007409; GO:0071286; GO:0045184; GO:0043001; GO:0010960; GO:0072660; GO:0071709; GO:0000281; GO:1902260; GO:0007528; GO:0019228; GO:0007009; GO:0045760; GO:2001259; GO:0010650; GO:0010628; GO:0034112; GO:1900827; GO:0045838; GO:0090314; GO:2000651; GO:0010765; GO:0099612; GO:0072659; GO:0043266; GO:0007165; GO:0050808	GO:0016810; GO:0006807
evm.model.Ap12.779	sp|Q9CXL3|CG050_MOUSE	9.29e-19	Uncharacterized protein C7orf50 homolog OS=Mus musculus PE=1 SV=3	tr|B9EQ82|B9EQ82_SALSA	4.01e-23	C7orf50 OS=Salmo salar GN=CG050 PE=2 SV=1	ref|XP_020622686.1|	2.65e-64	cylicin-1-like, partial [Orbicella faveolata]		
evm.model.Ap12.2401_evm.model.Ap12.2399	sp|Q8N695|SC5A8_HUMAN	7.05e-112	Sodium-coupled monocarboxylate transporter 1 OS=Homo sapiens GN=SLC5A8 PE=1 SV=2	tr|A0A2B4S8T8|A0A2B4S8T8_STYPI	0	Sodium-coupled monocarboxylate transporter 2 OS=Stylophora pistillata GN=Slc5a12 PE=4 SV=1	ref|XP_020620523.1|	0	sodium-coupled monocarboxylate transporter 1-like [Orbicella faveolata]	GO:0016324; GO:0070062; GO:0016021; GO:0005886; GO:0008028; GO:0022803; GO:0015293; GO:0006915; GO:0006811; GO:0034356; GO:0006814	GO:0016021; GO:0022857
evm.model.Ap12.85	NA	NA	NA	NA	NA	NA	ref|XP_022804441.1|	1.12e-93	uncharacterized protein LOC111341717 [Stylophora pistillata]	NA	NA
evm.model.Ap12.84	sp|P62244|RS15A_HUMAN	2.55e-79	40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2	tr|A0A2B4S0N6|A0A2B4S0N6_STYPI	8.82e-82	DNA-directed RNA polymerase III subunit RPC8 OS=Stylophora pistillata GN=POLR3H PE=4 SV=1	ref|XP_022795432.1|	9.43e-88	40S ribosomal protein S15Aa-like [Stylophora pistillata]	GO:0005737; GO:0005829; GO:0022627; GO:0070062; GO:0031012; GO:0016020; GO:0005739; GO:0005654; GO:0003723; GO:0003735; GO:0000184; GO:0045787; GO:0008284; GO:0009615; GO:0006364; GO:0006614; GO:0006412; GO:0006413; GO:0019083	GO:0005840; GO:0003677; GO:0003899; GO:0003735; GO:0006351; GO:0006412
evm.model.Ap12.2237	sp|Q9V9S7|SYDE_DROME	9.75e-18	Rho GTPase-activating protein 100F OS=Drosophila melanogaster GN=RhoGAP100F PE=1 SV=2	tr|A0A2B4SQ14|A0A2B4SQ14_STYPI	0	Rho GTPase-activating protein 100F OS=Stylophora pistillata GN=RhoGAP100F PE=4 SV=1	ref|XP_020628286.1|	0	rho GTPase-activating protein 100F-like [Orbicella faveolata]	GO:0005737; GO:0048786; GO:0005096; GO:0090630; GO:0048846; GO:0048789; GO:0048790; GO:0045467; GO:0043087; GO:0007266; GO:0097479	
evm.model.Ap12.2144_evm.model.Ap12.2145	NA	NA	NA	tr|A0A2B4SW37|A0A2B4SW37_STYPI	3.01e-124	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene2448 PE=4 SV=1	ref|XP_020605731.1|	5.43e-166	uncharacterized protein LOC110044516 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.2144_evm.model.Ap12.2145.2.5f168ee6	NA	NA	NA	tr|A0A2B4SW37|A0A2B4SW37_STYPI	5.09e-119	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene2448 PE=4 SV=1	ref|XP_020605731.1|	6.8e-159	uncharacterized protein LOC110044516 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.2144_evm.model.Ap12.2145.1.5f168ee5	NA	NA	NA	tr|A0A2B4SW37|A0A2B4SW37_STYPI	1.76e-147	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene2448 PE=4 SV=1	ref|XP_020605731.1|	0	uncharacterized protein LOC110044516 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.1619	NA	NA	NA	tr|A0A2B4S6Y6|A0A2B4S6Y6_STYPI	2.94e-17	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene11083 PE=4 SV=1	ref|XP_020609639.1|	1.95e-80	uncharacterized protein LOC110048197, partial [Orbicella faveolata]	NA	
evm.model.Ap12.1618	sp|Q62867|GGH_RAT	4.79e-44	Gamma-glutamyl hydrolase OS=Rattus norvegicus GN=Ggh PE=1 SV=1	tr|A7SS46|A7SS46_NEMVE	1.38e-62	Predicted protein OS=Nematostella vectensis GN=v1g230814 PE=4 SV=1	ref|XP_020622508.1|	2.9e-132	gamma-glutamyl hydrolase-like [Orbicella faveolata]	GO:0005829; GO:0070062; GO:0005615; GO:0005764; GO:0042470; GO:0005634; GO:0034722; GO:0042493; GO:0045471; GO:0032868; GO:0010043; GO:0046900	GO:0005773; GO:0034722; GO:0046900
evm.model.Ap12.1617	NA	NA	NA	tr|A0A2B4SKU2|A0A2B4SKU2_STYPI	4.96e-175	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5221 PE=4 SV=1	gb|PFX29986.1|	7.69e-175	hypothetical protein AWC38_SpisGene5221 [Stylophora pistillata]	NA	
evm.model.Ap12.1616	NA	NA	NA	tr|A0A2B4REW9|A0A2B4REW9_STYPI	2.52e-108	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene20907 PE=4 SV=1	gb|PFX14897.1|	3.9e-108	hypothetical protein AWC38_SpisGene20907 [Stylophora pistillata]	NA	GO:0003676
evm.model.Ap12.1615	NA	NA	NA	tr|A0A2B4SKU2|A0A2B4SKU2_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5221 PE=4 SV=1	ref|XP_015756363.1|	0	PREDICTED: uncharacterized protein LOC107335839 [Acropora digitifera]	NA	
evm.model.Ap12.1613	NA	NA	NA	tr|A0A2B4S542|A0A2B4S542_STYPI	5.11e-60	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene11735 PE=4 SV=1	gb|PFX23717.1|	7.92e-60	hypothetical protein AWC38_SpisGene11735 [Stylophora pistillata]	NA	GO:0003676; GO:0008270
evm.model.Ap12.2042	NA	NA	NA	tr|A0A2B4RN17|A0A2B4RN17_STYPI	1.26e-20	Low affinity immunoglobulin epsilon Fc receptor OS=Stylophora pistillata GN=Fcer2 PE=4 SV=1	ref|XP_015756047.1|	5.56e-22	PREDICTED: SCO-spondin-like isoform X1 [Acropora digitifera]	NA	
evm.model.Ap12.1922	NA	NA	NA	tr|A0A2B4R5A9|A0A2B4R5A9_STYPI	4.71e-115	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene24110 PE=4 SV=1	gb|PFX12003.1|	7.3e-115	hypothetical protein AWC38_SpisGene24110 [Stylophora pistillata]	NA	
evm.model.Ap12.1929	sp|B5FXE5|AIFM2_TAEGU	4.71e-86	Apoptosis-inducing factor 2 OS=Taeniopygia guttata GN=AIFM2 PE=2 SV=1	tr|A0A2B4SVL3|A0A2B4SVL3_STYPI	0	Apoptosis-inducing factor 2 OS=Stylophora pistillata GN=AIFM2 PE=4 SV=1	ref|XP_020632591.1|	0	apoptosis-inducing factor 2-like isoform X1 [Orbicella faveolata]	GO:0016021; GO:0005741; GO:0003677; GO:0016491; GO:0006915	GO:0016491
evm.model.Ap12.1928	NA	NA	NA	tr|A0A2B4SSZ4|A0A2B4SSZ4_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene2698 PE=4 SV=1	ref|XP_020632615.1|	0	LOW QUALITY PROTEIN: uncharacterized protein LOC110069430 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.1819	NA	NA	NA	tr|A0A2B4RSL3|A0A2B4RSL3_STYPI	9.8e-101	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene15419 PE=4 SV=1	ref|XP_020613185.1|	1.11e-123	uncharacterized protein LOC110051497 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.1818	NA	NA	NA	tr|A7RH65|A7RH65_NEMVE	1.03e-90	Predicted protein OS=Nematostella vectensis GN=v1g238238 PE=4 SV=1	ref|XP_020613174.1|	1.39e-124	uncharacterized protein LOC110051485 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap12.14	sp|C5FP68|SCONB_ARTOC	7.6e-15	Probable E3 ubiquitin ligase complex SCF subunit sconB OS=Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) GN=sconB PE=3 SV=1	tr|A0A2B4SHZ9|A0A2B4SHZ9_STYPI	0	Beta-TrCP OS=Stylophora pistillata GN=fbxw1 PE=4 SV=1	ref|XP_020632901.1|	0	F-box/WD repeat-containing protein 7-like [Orbicella faveolata]	GO:0016567; GO:0006355; GO:0006351	
evm.model.Ap12.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap12.17	sp|O13076|AA2BR_CHICK	8.17e-10	Adenosine receptor A2b OS=Gallus gallus GN=ADORA2B PE=2 SV=1	tr|A7SJ90|A7SJ90_NEMVE	2.49e-17	Predicted protein OS=Nematostella vectensis GN=v1g213126 PE=4 SV=1	ref|XP_020632631.1|	1.61e-58	adenosine receptor A2b-like [Orbicella faveolata]	GO:0016021; GO:0005622; GO:0005886; GO:0001609; GO:0007189; GO:0031668; GO:0032722; GO:0002882; GO:0031284; GO:0032755; GO:0043306; GO:0010575; GO:0060087	GO:0005737; GO:0016021; GO:0005886; GO:0004930; GO:0005070; GO:0006353; GO:0002757
evm.model.Ap12.10	sp|Q6P963|GLO2_DANRE	1.73e-129	Hydroxyacylglutathione hydrolase, mitochondrial OS=Danio rerio GN=hagh PE=2 SV=2	tr|C3Y9J7|C3Y9J7_BRAFL	6.1e-139	Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_104472 PE=3 SV=1	ref|XP_020632921.1|	0	hydroxyacylglutathione hydrolase, mitochondrial-like [Orbicella faveolata]	GO:0005759; GO:0004416; GO:0046872; GO:0019243	GO:0004416; GO:0019243
evm.model.Ap12.11	sp|Q9NYV6|RRN3_HUMAN	2.46e-151	RNA polymerase I-specific transcription initiation factor RRN3 OS=Homo sapiens GN=RRN3 PE=1 SV=1	tr|C3Z7G5|C3Z7G5_BRAFL	3.38e-178	Uncharacterized protein (Fragment) OS=Branchiostoma floridae GN=BRAFLDRAFT_260046 PE=4 SV=1	ref|XP_020632916.1|	0	RNA polymerase I-specific transcription initiation factor RRN3-like isoform X2 [Orbicella faveolata]	GO:0005730; GO:0005654; GO:0005634; GO:0001042; GO:0001164; GO:0001181; GO:0008283; GO:0007028; GO:0048872; GO:0001701; GO:1902254; GO:0007000; GO:0010976; GO:0045893; GO:2000142; GO:0042254; GO:0006361; GO:0001180	GO:0005634; GO:0001042; GO:0001181; GO:0001180
evm.model.Ap12.12	sp|Q96DB5|RMD1_HUMAN	1.17e-80	Regulator of microtubule dynamics protein 1 OS=Homo sapiens GN=RMDN1 PE=1 SV=1	tr|A0A2B4SM57|A0A2B4SM57_STYPI	1.74e-155	Regulator of microtubule dynamics protein 1 OS=Stylophora pistillata GN=RMDN1 PE=4 SV=1	gb|PFX29495.1|	2.7e-155	regulator of microtubule dynamics protein 1-like isoform X1 [Stylophora pistillata]	GO:0005874; GO:0005739; GO:0000922	
